Gender,Year,Faculty,CGPA,Credits ,Transport,TransportTime,TransportMoney,Sleep,StartPreferance,EndPreferance,Satisfaction,Skip8to10,Skip10to12,Skip12to1,Skip2to4,Skip2to5,Skip4to6,Concentration8to10,Concentration10to12,Concentration12to1,Concentration2to4,Concentration2to5,Concentration4to6
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.02,19,Bus,30,10.0,6,9 am;10 am,3:00 PM,3,2 times,Never,Never,2 times,3 times,3 times,75%,50%,75%,25%,25%,25%
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.02,19,Bus,30,10.0,6,9 am;10 am,3:00 PM,3,2 times,Never,Never,2 times,3 times,3 times,75%,50%,75%,25%,25%,25%
Male,1st Year,School of Electrical Engineering,3.7,18,Grab,20,15.0,5,11:00 AM,6:00 PM,1,3 times,2 times,Never,Never,Never,Never,25%,50%,75%,75%,75%,75%
Male,2nd Year,School of Mechanical Engineering,3.76,18,Car,10,6.0,5,9:00 AM,5:00 PM,2,3 times,2 times,1 time,1 time,2 times,3 times,25%,50%,75%,100%,75%,50%
Male,2nd Year,School of Mechanical Engineering,3.38,18,Car,10,6.0,4,10:00 AM,4:00 PM,3,5+ times,2 times,Never,Never,5+ times,5+ times,25%,50%,100%,100%,0%,0%
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.71,18,Bus,40,0.0,6,9:00 AM,1:00 PM,3,Never,Never,Never,3 times,5+ times,5+ times,100%,75%,50%,50%,25%,25%
Female,4th Year,School of Computing,3.18,18,Car,10,0.0,5,11:00 AM,3:00 PM,3,2 times,Never,Never,1 time,1 time,2 times,50%,50%,50%,25%,25%,25%
Male,2nd Year,School of Computing,3.2,17,Bike,12,1.0,4,8:00 AM,1:00 PM,3,Never,Never,Never,1 time,2 times,3 times,100%,75%,75%,50%,50%,25%
Male,1st Year,School of Computing,3.74,17,Walking,10,0.0,6,8 am;9 am;10 am;11 am,1:00 PM,4,Never,Never,Never,Never,2 times,2 times,100%,100%,100%,75%,50%,50%
Male,1st Year,School of Computing,2.69,16,Car,10,50.0,5,8:00 AM,1:00 PM,4,1 time,Never,Never,3 times,3 times,3 times,50%,75%,50%,0%,0%,0%
Male,1st Year,School of Mechanical Engineering,3.5,16,Bike,7,1.0,8,8:00 AM,4:00 PM,2,Never,Never,Never,Never,Never,Never,75%,75%,75%,75%,75%,75%
Female,4th Year,School of Computing,3.63,12,Car,3,0.0,5,9 am;10 am,3 pm;4 pm,5,5+ times,4 times,3 times,3 times,3 times,5+ times,50%,75%,25%,50%,50%,0%
Male,Postgraduate,School of Electrical Engineering,4,16,Car,10,7.0,5,11:00 AM,4:00 PM,3,5+ times,Never,Never,2 times,5+ times,Never,100%,100%,75%,25%,25%,75%
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.55,19,Grab ,20,12.0,5,11:00 AM,3:00 PM,0,2 times,1 time,Never,Never,Never,Never,0%,25%,100%,100%,75%,25%
Female,4th Year,School of Computing,3.42,18,Walking,5,0.0,5,9:00 AM,4:00 PM,3,Never,Never,Never,Never,Never,Never,100%,100%,50%,75%,75%,75%
Female,3rd Year,School of Computing,2.66,18,Walking,20,0.0,5,11:00 AM,5:00 PM,2,5+ times,1 time,1 time,1 time,1 time,1 time,0%,75%,75%,75%,75%,75%
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.69,16,Bus,15,0.0,5,9:00 AM,4:00 PM,3,Never,Never,Never,Never,Never,Never,25%,75%,50%,75%,25%,25%
Male,1st Year,School of Electrical Engineering,3.77,16,Submarine ,8,1.0,8,11:00 AM,1:00 PM,3,5+ times,5+ times,5+ times,5+ times,5+ times,5+ times,0%,0%,0%,0%,0%,0%
Male,3rd Year,School of Computing,3,18,Bus,20,7.0,5,10:00 AM,3:00 PM,4,5+ times,2 times,2 times,2 times,3 times,4 times,50%,75%,75%,50%,25%,25%
Female,3rd Year,School of Computing,3.51,17,Walking,20,0.0,5,9 am;10 am,1:00 PM,3,2 times,Never,Never,Never,Never,2 times,25%,100%,100%,100%,25%,0%
Male,1st Year,School of Computing,3.5,16,Car,3,0.0,4,10:00 AM,1 pm;3 pm,4,5+ times,2 times,Never,1 time,Never,2 times,25%,75%,50%,75%,0%,0%
Female,4th Year,School of Computing,3.97,16,Walking,15,0.0,7,9 am;10 am,4:00 PM,3,2 times,1 time,Never,1 time,1 time,Never,25%,50%,50%,75%,50%,50%
Male,2nd Year,School of Computing,3.28,18,Bus,20,0.0,8,10 am;11 am,1 pm;4 pm,5,1 time,Never,Never,Never,Never,Never,75%,75%,50%,50%,50%,50%
Female,3rd Year,School of Computing,3.03,18,Bus,10,5.0,7,9:00 AM,1:00 PM,4,Never,Never,Never,1 time,1 time,1 time,100%,100%,75%,75%,25%,0%
Female,2nd Year,School of Computing,3.96,17,Walking,15,0.0,7,10 am;11 am,3 pm;4 pm,3,5+ times,Never,Never,Never,Never,1 time,25%,100%,75%,50%,75%,25%
Male,1st Year,School of Computing,0,18,Car,15,10.0,5,9 am;10 am,1 pm;3 pm,1,3 times,1 time,Never,Never,Never,Never,50%,75%,75%,50%,25%,0%
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.69,16,Bus,15,0.0,5,9:00 AM,4:00 PM,3,Never,Never,Never,Never,Never,Never,25%,75%,50%,75%,25%,25%
Female,2nd Year,School of Bio-sciences & Medical Engineering,3.69,16,Bus,15,0.0,5,9:00 AM,4:00 PM,3,Never,Never,Never,Never,Never,Never,25%,75%,50%,75%,25%,25%
Male,1st Year,Faculty of Science,3.82,18,Bus,23,0.0,6,8:00 AM,1:00 PM,4,3 times,Never,Never,Never,Never,Never,100%,75%,75%,25%,0%,0%
Male,1st Year,School of Computing,2.91,17,Car,10,7.0,6,11:00 AM,1:00 PM,5,2 times,Never,Never,2 times,2 times,3 times,75%,50%,50%,25%,50%,75%
Female,1st Year,School of Computing,3.58,16,Walking,10,0.0,6,9:00 AM,3:00 PM,4,Never,Never,5+ times,Never,Never,Never,75%,75%,0%,75%,25%,25%
Male,1st Year,School of Computing,0,18,Bus,19,6.0,7,8:00 AM,1 pm;3 pm,4,Never,Never,Never,3 times,Never,Never,75%,50%,50%,25%,0%,0%
Male,3rd Year,School of Computing,3.78,18,Bus,15,0.0,8,8 am;9 am,1 pm;3 pm;4 pm;5 pm;6 pm,5,Never,Never,Never,Never,Never,Never,100%,75%,75%,50%,50%,50%
Male,1st Year,School of Electrical Engineering,0,16,Bus,40,2.0,8,9 am;11 am,1:00 PM,3,3 times,Never,Never,1 time,5+ times,2 times,75%,75%,0%,50%,25%,0%
Male,3rd Year,School of Computing,3.77,16,Bike,10,7.0,5,10 am;11 am,4:00 PM,0,4 times,Never,Never,Never,Never,4 times,50%,100%,100%,75%,50%,25%
Female,1st Year,School of Electrical Engineering,3.4,17,Bus,15,5.0,4,10 am;11 am,3 pm;4 pm,2,4 times,Never,Never,2 times,2 times,2 times,50%,100%,75%,50%,25%,25%
Male,1st Year,School of Mechanical Engineering,3.41,18,Bus,20,15.0,5,10 am;11 am,4:00 PM,3,Never,Never,Never,Never,Never,Never,25%,75%,50%,50%,0%,0%
Male,1st Year,School of Electrical Engineering,3.93,17,Bus,30,0.0,7,8 am;9 am,1 pm;3 pm;4 pm;5 pm,3,Never,Never,Never,Never,Never,3 times,50%,100%,100%,75%,50%,25%
Male,3rd Year,School of Electrical Engineering,3.4,18,"Sometimes bus, and sometimes grabcar",10,6.0,6,8:00 AM,1:00 PM,3,2 times,Never,Never,3 times,2 times,4 times,75%,75%,75%,50%,25%,25%
Female,1st Year,School of Electrical Engineering,3.91,15,Bus,30,5.0,4,11:00 AM,6:00 PM,0,3 times,2 times,Never,Never,Never,Never,25%,100%,100%,100%,100%,100%
Male,4th Year,School of Mechanical Engineering,3.62,19,Bus,25,0.0,7,11:00 AM,4:00 PM,4,3 times,1 time,Never,1 time,1 time,1 time,50%,75%,100%,100%,75%,75%
Male,2nd Year,School of Electrical Engineering,3.52,16,Bus,30,6.0,6,8 am;9 am,1 pm;4 pm,3,2 times,Never,1 time,1 time,Never,2 times,75%,50%,50%,25%,25%,0%
Male,1st Year,School of Electrical Engineering,3.86,17,Bus,25,7.0,6,9 am;10 am;11 am,1:00 PM,4,1 time,Never,Never,Never,1 time,1 time,50%,100%,100%,25%,50%,25%
Male,3rd Year,School of Mechanical Engineering,3.6,15,Bike,13,2.0,5,9:00 AM,6:00 PM,0,5+ times,Never,Never,Never,Never,Never,0%,100%,50%,50%,50%,50%
Male,3rd Year,School of Electrical Engineering,3.47,16,Bike,15,2.0,5,10:00 AM,4:00 PM,3,5+ times,2 times,2 times,2 times,2 times,2 times,50%,100%,100%,50%,25%,25%
Male,1st Year,School of Electrical Engineering,3.91,18,Bus,30,5.0,6,10:00 AM,4:00 PM,0,5+ times,Never,Never,Never,2 times,5+ times,25%,100%,100%,100%,50%,25%
Female,1st Year,School of Electrical Engineering,3.73,18,Walking,10,0.0,6,8:00 AM,1 pm;4 pm,5,Never,Never,Never,3 times,3 times,3 times,100%,100%,75%,75%,50%,25%
Male,1st Year,School of Electrical Engineering,1,22,Walking,120,120.0,0.5,8 am;9 am;10 am;11 am,1 pm;3 pm;4 pm;5 pm;6 pm,3,5+ times,5+ times,5+ times,5+ times,5+ times,5+ times,100%,100%,100%,100%,100%,100%
Male,1st Year,School of Electrical Engineering,4,17,Bike,7,0.0,9,8:00 AM,1:00 PM,0,3 times,Never,Never,Never,Never,Never,75%,100%,100%,25%,25%,25%
Male,1st Year,School of Electrical Engineering,2.8,17,Bus,15,6.0,4,8 am;9 am,4:00 PM,5,5+ times,2 times,Never,1 time,3 times,4 times,50%,25%,25%,100%,75%,50%
Male,1st Year,School of Electrical Engineering,2.7,16,Bus,20,7.0,5,9 am;10 am,4:00 PM,3,3 times,Never,1 time,Never,Never,Never,25%,75%,75%,75%,0%,25%
Male,1st Year,School of Electrical Engineering,4,19,Bus,45,10.0,5,8:00 AM,1 pm;3 pm,4,1 time,Never,Never,Never,4 times,4 times,75%,75%,25%,50%,0%,0%
Female,1st Year,School of Electrical Engineering,4,19,Walking,10,0.0,5,10 am;11 am,1 pm;3 pm;4 pm,2,5+ times,2 times,2 times,2 times,2 times,Never,50%,75%,75%,75%,75%,75%
Male,2nd Year,School of Electrical Engineering,3.56,16,Grab,15,7.0,6,10:00 AM,4:00 PM,2,4 times,Never,Never,Never,Never,Never,25%,75%,100%,100%,75%,75%
Male,1st Year,School of Electrical Engineering,3.82,18,Bike,10,1.5,5,10:00 AM,4 pm;5 pm,3,5+ times,Never,5+ times,Never,Never,Never,0%,100%,0%,75%,50%,75%
Male,1st Year,School of Computing,4,12,Wings,0.5,0.0,10,9:00 AM,4:00 PM,3,1 time,1 time,1 time,1 time,1 time,1 time,25%,25%,25%,25%,25%,25%
Male,1st Year,School of Computing,3.5,17,Bus,17,0.0,6,10:00 AM,3:00 PM,0,2 times,2 times,2 times,2 times,2 times,2 times,50%,75%,75%,50%,0%,0%
Male,1st Year,School of Computing,4,14,Walking,5,0.0,7,9 am;10 am,3 pm;4 pm,4,3 times,1 time,1 time,2 times,3 times,4 times,25%,100%,75%,50%,25%,25%
Male,1st Year,School of Computing,3.77,14,Walking,10,0.0,5,9:00 AM,1:00 PM,4,2 times,Never,Never,Never,Never,2 times,75%,100%,50%,50%,50%,25%
Female,1st Year,School of Computing,3.96,16,Walking,10,0.0,6,8:00 AM,1:00 PM,4,Never,Never,Never,Never,Never,Never,100%,100%,100%,75%,50%,25%
Female,1st Year,School of Computing,3.96,16,Walking,5,0.0,6,8 am;9 am;10 am;11 am,1:00 PM,4,Never,Never,Never,Never,Never,Never,100%,100%,75%,75%,50%,25%
